TH,TP,TN,FP,FN,Pre.,Rec.
0.10874906186625444,1942,18031,1957,7558,0.49807642972606403,0.20442105261006094
0.35328298736360164,141,19879,109,9359,0.563999997744,0.014842105261595568
0.5307237540651162,36,19975,13,9464,0.7346938625572681,0.0037894736838116343
0.6594798177629646,17,19986,2,9483,0.8947367950138528,0.0017894736840221605
0.7529088772014396,13,19988,0,9487,0.9999999230769291,0.0013684210524875346
0.8207036582537898,8,19988,0,9492,0.9999998750000157,0.000842105263069252
0.8698974783089168,3,19988,0,9497,0.9999996666667778,0.00031578947365096954
0.9055939123714077,1,19988,0,9499,0.9999990000010001,0.0001052631578836565
0.9314962595229367,0,19988,0,9500,0.0,0.0
0.9502917388356261,0,19988,0,9500,0.0,0.0
0.963930272846737,0,19988,0,9500,0.0,0.0
0.9738267807717386,0,19988,0,9500,0.0,0.0
0.9810079682094667,0,19988,0,9500,0.0,0.0
0.9862188419243761,0,19988,0,9500,0.0,0.0
0.99,0,19988,0,9500,0.0,0.0
